Survey ID,Privacy concern
1,Not concerned
2,Mildly concerned
3,Not concerned
4,Very concerned
5,I don't know
6,Not concerned
7,Very concerned
8,Mildly concerned
9,Mildly concerned
10,I don't know
11,Not concerned
12,Not concerned
13,Not concerned
14,Mildly concerned
15,Moderately concerned
16,Not concerned
17,Very concerned
18,Very concerned
19,Moderately concerned
20,Very concerned
21,Not concerned
22,Moderately concerned
23,Mildly concerned
24,I don't know
25,Not concerned
26,Not concerned
27,Very concerned
28,Not concerned
29,I don't know
30,I don't know
31,Very concerned
32,I don't know
33,Not concerned
34,Very concerned
35,Moderately concerned
36,Not concerned
37,Very concerned
38,Not concerned
39,Mildly concerned
40,Not concerned
41,Mildly concerned
42,Very concerned
43,Not concerned
44,Mildly concerned
45,Very concerned
46,Not concerned
47,I don't know
48,Mildly concerned
49,Very concerned
50,Mildly concerned
51,Not concerned
52,Very concerned
53,Very concerned
54,Moderately concerned
55,I don't know
56,Very concerned
57,Not concerned
58,Very concerned
59,Mildly concerned
60,Moderately concerned
61,Very concerned
62,Mildly concerned
63,Very concerned
64,Very concerned
65,Mildly concerned
66,Not concerned
67,Mildly concerned
68,Very concerned
69,Not concerned
70,Moderately concerned
71,Moderately concerned
72,Mildly concerned
73,Mildly concerned
74,Mildly concerned
75,Moderately concerned
76,Very concerned
77,Moderately concerned
78,Not concerned
79,Mildly concerned
80,Mildly concerned
81,Not concerned
82,Moderately concerned
83,Moderately concerned
84,I don't know
85,Very concerned
86,Very concerned
87,Moderately concerned
88,I don't know
89,Very concerned
90,Very concerned
91,Not concerned
92,Moderately concerned
93,Very concerned
94,Not concerned
95,Mildly concerned
96,Not concerned
97,Moderately concerned
98,Not concerned
99,Not concerned
100,Mildly concerned
101,Very concerned
102,Very concerned
103,Mildly concerned
104,Moderately concerned
105,Mildly concerned
106,Very concerned
107,Moderately concerned
108,Moderately concerned
109,Not concerned
110,Mildly concerned
111,Mildly concerned
112,Mildly concerned
113,Moderately concerned
114,I don't know
115,Very concerned
116,Very concerned
117,Very concerned
118,Very concerned
119,Not concerned
120,Not concerned
121,Mildly concerned
122,I don't know
123,Very concerned
124,Very concerned
125,I don't know
126,I don't know
127,Mildly concerned
128,Not concerned
129,Very concerned
130,Moderately concerned
131,I don't know
132,Mildly concerned
133,Not concerned
134,Not concerned
135,Mildly concerned
136,Not concerned
137,Very concerned
138,Very concerned
139,Very concerned
140,Mildly concerned
141,Not concerned
142,I don't know
143,I don't know
144,Very concerned
145,Very concerned
146,Very concerned
147,I don't know
148,Not concerned
149,I don't know
150,Not concerned
151,Moderately concerned
152,Very concerned
153,I don't know
154,Not concerned
155,Not concerned
156,Mildly concerned
157,Mildly concerned
158,Not concerned
159,Very concerned
160,I don't know
161,Moderately concerned
162,Mildly concerned
163,Mildly concerned
164,Not concerned
165,Not concerned
166,Moderately concerned
167,Mildly concerned
168,Very concerned
169,Moderately concerned
170,Very concerned
171,Moderately concerned
172,Mildly concerned
173,Not concerned
174,Very concerned
175,Mildly concerned
176,Not concerned
177,Moderately concerned
178,Very concerned
179,Not concerned
180,Moderately concerned
181,Very concerned
182,Mildly concerned
183,Moderately concerned
184,Moderately concerned
185,Mildly concerned
186,Very concerned
187,Mildly concerned
188,Moderately concerned
189,Moderately concerned
190,Moderately concerned
191,Mildly concerned
192,Very concerned
193,Mildly concerned
194,Moderately concerned
195,Not concerned
196,Mildly concerned
197,I don't know
198,Mildly concerned
199,Not concerned
200,Very concerned
201,Very concerned
202,Moderately concerned
203,Moderately concerned
204,Very concerned
205,Mildly concerned
206,Not concerned
207,Moderately concerned
208,Moderately concerned
209,Moderately concerned
210,Very concerned
211,Mildly concerned
212,Very concerned
213,Very concerned
214,Not concerned
215,Not concerned
216,Very concerned
217,Not concerned
218,Mildly concerned
219,Not concerned
220,Very concerned
221,Not concerned
222,Mildly concerned
223,Not concerned
224,Not concerned
225,Moderately concerned
226,Not concerned
227,Moderately concerned
228,Not concerned
229,Not concerned
230,Moderately concerned
231,Very concerned
232,Very concerned
233,Very concerned
234,Not concerned
235,Not concerned
236,Mildly concerned
237,Mildly concerned
238,Mildly concerned
239,Very concerned
240,Very concerned
241,Not concerned
242,Not concerned
243,Very concerned
244,Not concerned
245,Not concerned
246,I don't know
247,Not concerned
248,Mildly concerned
249,Moderately concerned
250,I don't know
251,Very concerned
252,Not concerned
253,Very concerned
254,Very concerned
255,Mildly concerned
256,Mildly concerned
257,Very concerned
258,I don't know
259,Moderately concerned
260,Not concerned
261,Not concerned
262,Very concerned
263,Very concerned
264,Not concerned
265,Very concerned
266,Very concerned
267,Very concerned
268,Moderately concerned
269,Moderately concerned
270,Not concerned
271,Not concerned
272,I don't know
273,Mildly concerned
274,Mildly concerned
275,Mildly concerned
276,Not concerned
277,Very concerned
278,Mildly concerned
279,Not concerned
280,I don't know
281,Moderately concerned
282,I don't know
283,Moderately concerned
284,Moderately concerned
285,Very concerned
286,Very concerned
287,Very concerned
288,Not concerned
289,Not concerned
290,Very concerned
291,I don't know
292,Very concerned
293,Mildly concerned
294,I don't know
295,Very concerned
296,Mildly concerned
297,Very concerned
298,Mildly concerned
299,I don't know
300,Very concerned
301,Mildly concerned
302,I don't know
303,Very concerned
304,Very concerned
305,Moderately concerned
306,Very concerned
307,Not concerned
308,Very concerned
309,Not concerned
310,Moderately concerned
311,Mildly concerned
312,Very concerned
313,Very concerned
314,Very concerned
315,Moderately concerned
316,Moderately concerned
317,Not concerned
318,Mildly concerned
319,Mildly concerned
320,Not concerned
321,Very concerned
322,Very concerned
323,Moderately concerned
324,Very concerned
325,Moderately concerned
326,Not concerned
327,Mildly concerned
328,Mildly concerned
329,Mildly concerned
330,Not concerned
331,Very concerned
332,Mildly concerned
333,Very concerned
334,I don't know
335,I don't know
336,Very concerned
337,Not concerned
338,Not concerned
339,Moderately concerned
340,Mildly concerned
341,Very concerned
342,Moderately concerned
343,Not concerned
344,Moderately concerned
345,Mildly concerned
346,Not concerned
347,Very concerned
348,Not concerned
349,Not concerned
350,Mildly concerned
351,Mildly concerned
352,I don't know
353,I don't know
354,Moderately concerned
355,Not concerned
356,Mildly concerned
357,Mildly concerned
358,Mildly concerned
359,Very concerned
360,I don't know
361,Moderately concerned
362,Not concerned
363,Mildly concerned
364,I don't know
365,Mildly concerned
366,Not concerned
367,Mildly concerned
368,Mildly concerned
369,Mildly concerned
370,I don't know
371,Moderately concerned
372,I don't know
373,Not concerned
374,Very concerned
375,Very concerned
376,Moderately concerned
377,Moderately concerned
378,I don't know
379,Moderately concerned
380,Moderately concerned
381,Mildly concerned
382,Not concerned
383,Very concerned
384,Not concerned
385,Mildly concerned
386,Moderately concerned
387,Moderately concerned
388,Mildly concerned
389,Moderately concerned
390,Not concerned
391,Mildly concerned
392,Very concerned
393,Moderately concerned
394,Not concerned
395,Not concerned
396,Not concerned
397,Not concerned
398,Mildly concerned
399,Mildly concerned
400,Very concerned
401,Moderately concerned
402,Not concerned
403,Moderately concerned
404,Mildly concerned
405,I don't know
406,Mildly concerned
407,Very concerned
408,Very concerned
409,Very concerned
410,I don't know
411,Not concerned
412,Very concerned
413,I don't know
414,Mildly concerned
415,I don't know
416,Mildly concerned
417,Mildly concerned
418,I don't know
419,Not concerned
420,Very concerned
421,Mildly concerned
422,Not concerned
423,Not concerned
424,Very concerned
425,Mildly concerned
426,Very concerned
427,Mildly concerned
428,Not concerned
429,Not concerned
430,I don't know
431,Moderately concerned
432,Very concerned
433,Mildly concerned
434,Very concerned
435,Very concerned
436,Very concerned
437,Mildly concerned
438,I don't know
439,Very concerned
440,Not concerned
441,Very concerned
442,Mildly concerned
443,I don't know
444,Very concerned
445,Moderately concerned
446,Moderately concerned
447,Mildly concerned
448,Not concerned
449,I don't know
450,Not concerned
451,Not concerned
452,Mildly concerned
453,Very concerned
454,Very concerned
455,Mildly concerned
456,I don't know
457,Very concerned
458,Not concerned
459,Not concerned
460,I don't know
461,Very concerned
462,Very concerned
463,Not concerned
464,Moderately concerned
465,Not concerned
466,Mildly concerned
467,Not concerned
468,Moderately concerned
469,Moderately concerned
470,Not concerned
471,Mildly concerned
472,Very concerned
473,Not concerned
474,Moderately concerned
475,Mildly concerned
476,Very concerned
477,I don't know
478,Very concerned
479,I don't know
480,I don't know
481,Not concerned
482,Mildly concerned
483,Mildly concerned
484,Mildly concerned
485,I don't know
486,I don't know
487,Not concerned
488,Moderately concerned
489,I don't know
490,Mildly concerned
491,Mildly concerned
492,Very concerned
493,Mildly concerned
494,Moderately concerned
495,I don't know
496,Very concerned
497,Moderately concerned
498,Mildly concerned
499,Mildly concerned
500,Very concerned
501,Not concerned
502,Not concerned
503,Not concerned
504,Not concerned
505,I don't know
506,Mildly concerned
507,Mildly concerned
508,Not concerned
509,Not concerned
510,Not concerned
511,Not concerned
512,Mildly concerned
513,Not concerned
514,I don't know
515,Not concerned
516,Very concerned
517,Moderately concerned
518,Mildly concerned
519,Very concerned
520,Very concerned
521,Moderately concerned
522,I don't know
523,Very concerned
524,Mildly concerned
525,Moderately concerned
526,Very concerned
527,Mildly concerned
528,Very concerned
529,I don't know
530,Moderately concerned
531,Very concerned
532,Mildly concerned
533,Mildly concerned
534,Very concerned
535,I don't know
536,Very concerned
537,Moderately concerned
538,Very concerned
539,Mildly concerned
540,I don't know
541,Very concerned
542,Very concerned
543,Not concerned
544,Mildly concerned
545,Very concerned
546,Not concerned
547,Mildly concerned
548,Mildly concerned
549,Moderately concerned
550,Mildly concerned
551,Very concerned
552,Moderately concerned
553,Moderately concerned
554,Not concerned
555,Very concerned
556,Moderately concerned
557,Very concerned
558,Mildly concerned
559,Mildly concerned
560,Very concerned
561,I don't know
562,Not concerned
563,Mildly concerned
564,Very concerned
565,Moderately concerned
566,Very concerned
567,Moderately concerned
568,I don't know
569,Not concerned
570,Not concerned
571,Moderately concerned
572,Very concerned
573,Mildly concerned
574,I don't know
575,Very concerned
576,I don't know
577,Very concerned
578,Moderately concerned
579,Moderately concerned
580,Moderately concerned
581,Not concerned
582,Not concerned
583,Mildly concerned
584,Very concerned
585,Very concerned
586,Moderately concerned
587,Moderately concerned
588,Not concerned
589,Moderately concerned
590,Moderately concerned
591,Mildly concerned
592,Very concerned
593,Moderately concerned
594,Very concerned
595,Not concerned
596,Very concerned
597,Moderately concerned
598,I don't know
599,Mildly concerned
600,Not concerned
601,Not concerned
602,Very concerned
603,Not concerned
604,Moderately concerned
605,Very concerned
606,Very concerned
607,Mildly concerned
608,Not concerned
609,Moderately concerned
610,Very concerned
611,Very concerned
612,Very concerned
613,Mildly concerned
614,Not concerned
615,Very concerned
616,Very concerned
617,Moderately concerned
618,Very concerned
619,Not concerned
620,Very concerned
621,Moderately concerned
622,Not concerned
623,Moderately concerned
624,Very concerned
625,Very concerned
626,I don't know
627,I don't know
628,Moderately concerned
629,Not concerned
630,Mildly concerned
631,Moderately concerned
632,Not concerned
633,I don't know
634,I don't know
635,Mildly concerned
636,Not concerned
637,Not concerned
638,Mildly concerned
639,Mildly concerned
640,Moderately concerned
641,I don't know
642,Moderately concerned
643,Mildly concerned
644,I don't know
645,Mildly concerned
646,Not concerned
647,Very concerned
648,Very concerned
649,Not concerned
650,Very concerned
651,Moderately concerned
652,Moderately concerned
653,Not concerned
654,Not concerned
655,Not concerned
656,Not concerned
657,I don't know
658,Mildly concerned
659,Not concerned
660,Very concerned
661,Mildly concerned
662,Moderately concerned
663,Mildly concerned
664,Not concerned
665,Not concerned
666,Mildly concerned
667,Moderately concerned
668,Not concerned
669,Mildly concerned
670,Moderately concerned
671,Very concerned
672,Not concerned
673,Not concerned
674,I don't know
675,Not concerned
676,Moderately concerned
677,Not concerned
678,Mildly concerned
679,Not concerned
680,Moderately concerned
681,Moderately concerned
682,Moderately concerned
683,I don't know
684,Moderately concerned
685,Very concerned
686,Mildly concerned
687,Mildly concerned
688,I don't know
689,Moderately concerned
690,Mildly concerned
691,Not concerned
692,Mildly concerned
693,Mildly concerned
694,Very concerned
695,Mildly concerned
696,I don't know
697,Moderately concerned
698,Very concerned
699,Mildly concerned
700,Very concerned
701,Mildly concerned
702,Very concerned
703,Moderately concerned
704,Very concerned
705,Very concerned
706,Not concerned
707,Mildly concerned
708,Mildly concerned
709,I don't know
710,Not concerned
711,Moderately concerned
712,Very concerned
713,Very concerned
714,Very concerned
715,Moderately concerned
716,I don't know
717,Very concerned
718,Mildly concerned
719,Not concerned
720,Very concerned
721,Moderately concerned
722,Mildly concerned
723,Moderately concerned
724,Not concerned
725,Mildly concerned
726,Moderately concerned
727,Moderately concerned
728,Very concerned
729,I don't know
730,Very concerned
731,Mildly concerned
732,Mildly concerned
733,Not concerned
734,Very concerned
735,Not concerned
736,Mildly concerned
737,Very concerned
738,Very concerned
739,Moderately concerned
740,Not concerned
741,Mildly concerned
742,Very concerned
743,Very concerned
744,Very concerned
745,I don't know
746,Very concerned
747,Moderately concerned
748,Moderately concerned
749,Moderately concerned
750,Very concerned
751,Moderately concerned
752,Moderately concerned
753,Not concerned
754,Very concerned
755,Not concerned
756,Not concerned
757,Mildly concerned
758,I don't know
759,Very concerned
760,Very concerned
761,Not concerned
762,I don't know
763,Very concerned
764,Not concerned
765,Not concerned
766,I don't know
767,I don't know
768,Very concerned
769,Very concerned
770,Not concerned
771,Mildly concerned
772,Not concerned
773,Very concerned
774,I don't know
775,Not concerned
776,Very concerned
777,Very concerned
778,Mildly concerned
779,Mildly concerned
780,Not concerned
781,Mildly concerned
782,Moderately concerned
783,Mildly concerned
784,Moderately concerned
785,Moderately concerned
786,Mildly concerned
787,Not concerned
788,Moderately concerned
789,I don't know
790,Very concerned
791,Not concerned
792,Very concerned
793,Very concerned
794,I don't know
795,Moderately concerned
796,Moderately concerned
797,Not concerned
798,Moderately concerned
799,Very concerned
800,Mildly concerned
801,Not concerned
802,Moderately concerned
803,Mildly concerned
804,I don't know
805,Very concerned
806,Not concerned
807,Mildly concerned
808,I don't know
809,Mildly concerned
810,Moderately concerned
811,Mildly concerned
812,Moderately concerned
813,Very concerned
814,Not concerned
815,Mildly concerned
816,Not concerned
817,Not concerned
818,Mildly concerned
819,I don't know
820,Very concerned
821,Moderately concerned
822,Moderately concerned
823,Mildly concerned
824,I don't know
825,Not concerned
826,Moderately concerned
827,Very concerned
828,Very concerned
829,Very concerned
830,I don't know
831,Not concerned
832,Not concerned
833,Very concerned
834,Not concerned
835,Mildly concerned
836,Mildly concerned
837,Very concerned
838,Not concerned
839,Not concerned
840,Moderately concerned
841,Mildly concerned
842,Not concerned
843,Not concerned
844,I don't know
845,I don't know
846,Moderately concerned
847,Very concerned
848,Mildly concerned
849,I don't know
850,Not concerned
851,Mildly concerned
852,Mildly concerned
853,Moderately concerned
854,Very concerned
855,Very concerned
856,Very concerned
857,Not concerned
858,Moderately concerned
859,Moderately concerned
860,I don't know
861,Moderately concerned
862,Very concerned
863,Not concerned
864,Mildly concerned
865,Not concerned
866,Very concerned
867,Mildly concerned
868,Mildly concerned
869,Mildly concerned
870,Not concerned
871,Not concerned
872,Not concerned
873,Mildly concerned
874,Moderately concerned
875,Not concerned
876,Very concerned
877,Mildly concerned
878,I don't know
879,I don't know
880,Mildly concerned
881,Very concerned
882,Not concerned
883,Not concerned
884,Not concerned
885,I don't know
886,Moderately concerned
887,Moderately concerned
888,Very concerned
889,Not concerned
890,I don't know
891,Very concerned
892,Not concerned
893,Not concerned
894,Very concerned
895,Moderately concerned
896,I don't know
897,Very concerned
898,Very concerned
899,Moderately concerned
900,Very concerned
901,I don't know
902,Very concerned
903,Very concerned
904,I don't know
905,Moderately concerned
906,I don't know
907,Moderately concerned
908,I don't know
909,I don't know
910,Moderately concerned
911,Moderately concerned
912,Not concerned
913,I don't know
914,Very concerned
915,Mildly concerned
916,I don't know
917,Very concerned
918,I don't know
919,Not concerned
920,I don't know
921,Mildly concerned
922,Mildly concerned
923,Not concerned
924,Very concerned
925,Very concerned
926,I don't know
927,Very concerned
928,Moderately concerned
929,Not concerned
930,Mildly concerned
931,Very concerned
932,Not concerned
933,Not concerned
934,Moderately concerned
935,Not concerned
936,Mildly concerned
937,Mildly concerned
938,Not concerned
939,Mildly concerned
940,Not concerned
941,Mildly concerned
942,Very concerned
943,Very concerned
944,Very concerned
945,Not concerned
946,Not concerned
947,Mildly concerned
948,Very concerned
949,Moderately concerned
950,Very concerned
951,I don't know
952,Not concerned
953,Moderately concerned
954,I don't know
955,Very concerned
956,Not concerned
957,Moderately concerned
958,I don't know
959,I don't know
960,Mildly concerned
961,Very concerned
962,Very concerned
963,Mildly concerned
964,Mildly concerned
965,I don't know
966,Very concerned
967,Not concerned
968,Moderately concerned
969,Moderately concerned
970,Moderately concerned
971,I don't know
972,I don't know
973,Moderately concerned
974,I don't know
975,Moderately concerned
976,Moderately concerned
977,Mildly concerned
978,Moderately concerned
979,Mildly concerned
980,Not concerned
981,Not concerned
982,Not concerned
983,Moderately concerned
984,Not concerned
985,Mildly concerned
986,Very concerned
987,Very concerned
988,Very concerned
989,I don't know
990,Very concerned
991,Mildly concerned
992,Moderately concerned
993,Very concerned
994,Very concerned
995,Mildly concerned
996,Moderately concerned
997,Moderately concerned
998,Very concerned
999,Mildly concerned
1000,Moderately concerned
1001,Moderately concerned
1002,Very concerned
1003,I don't know
1004,Very concerned
1005,Not concerned
1006,Not concerned
1007,Moderately concerned
1008,Not concerned
1009,I don't know
1010,Moderately concerned
1011,Moderately concerned
1012,Very concerned
1013,Moderately concerned
1014,Very concerned
1015,Very concerned
1016,Mildly concerned
1017,I don't know
1018,Not concerned
1019,Mildly concerned
1020,Moderately concerned
1021,Very concerned
1022,I don't know
1023,Not concerned
1024,Very concerned
1025,I don't know
1026,Moderately concerned
1027,I don't know
1028,Very concerned
1029,Moderately concerned
1030,Very concerned
1031,Moderately concerned
1032,Mildly concerned
1033,Moderately concerned
1034,I don't know
1035,Moderately concerned
1036,Very concerned
