18 - 29 ,30 - 45,45 - 60,61+
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
interested,not interested,interested,not interested 
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,not interested 
interested,interested,interested,interested
interested,interested,interested,not interested 
interested,interested,interested,interested
interested,interested,interested,interested
have used,have used ,have used ,interested
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
have used,have used ,have used ,have used 
interested,interested,interested,not interested 
interested,not interested,interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
interested,not interested,interested,not interested 
interested,not interested,interested,not interested 
interested,interested,interested,not interested 
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
have used,have used ,have used ,have used 
not interested,not interested,not interested,not interested 
interested,interested,interested,not interested 
interested,interested,interested,interested
have used,have used ,have used ,have used 
interested,interested,interested,interested
interested,interested,interested,not interested 
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
have used,have used ,have used ,have used 
interested,interested,interested,interested
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
have used,have used ,have used ,have used 
have used,have used ,have used ,interested
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
have used,have used ,have used ,have used 
have used,have used ,have used ,have used 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
interested,interested,interested,not interested 
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,not interested 
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
have used,have used ,have used ,interested
interested,interested,interested,interested
interested,interested,interested,interested
have used,have used ,have used ,have used 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
have used,have used ,interested,interested
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
interested,interested,interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
have used,have used ,have used ,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
have used,have used ,have used ,have used 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
have used,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,not interested 
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
have used,have used ,interested,interested
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,not interested 
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
interested,not interested,interested,not interested 
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,not interested,interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
interested,not interested,not interested,not interested 
interested,interested,interested,interested
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
have used,have used ,have used ,have used 
interested,interested,interested,interested
interested,interested,interested,interested
have used,have used ,have used ,have used 
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
interested,interested,interested,not interested 
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
have used,have used ,have used ,have used 
have used,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,not interested 
interested,interested,interested,interested
interested,interested,interested,not interested 
interested,interested,interested,interested
interested,interested,interested,interested
have used,have used ,have used ,have used 
not interested,not interested,not interested,not interested 
have used,have used ,have used ,have used 
interested,interested,interested,not interested 
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,not interested 
interested,interested,interested,interested
have used,have used ,have used ,have used 
interested,interested,interested,interested
interested,interested,interested,interested
have used,have used ,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,not interested 
interested,interested,interested,interested
have used,interested,interested,interested
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
have used,have used ,have used ,have used 
interested,interested,interested,not interested 
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
have used,have used ,have used ,have used 
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,not interested 
have used,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
interested,interested,interested,not interested 
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
have used,have used ,have used ,have used 
interested,interested,interested,interested
interested,interested,interested,not interested 
interested,interested,interested,interested
have used,have used ,have used ,have used 
have used,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,not interested 
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
have used,have used ,have used ,have used 
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,not interested 
interested,interested,interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
interested,not interested,interested,not interested 
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
have used,have used ,interested,interested
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,not interested 
interested,interested,interested,interested
have used,have used ,have used ,have used 
not interested,not interested,not interested,not interested 
interested,not interested,interested,not interested 
interested,not interested,interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
have used,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
have used,have used ,have used ,interested
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
interested,interested,interested,interested
interested,not interested,interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,not interested,interested,not interested 
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
have used,have used ,have used ,have used 
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
have used,have used ,interested,interested
have used,have used ,have used ,have used 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
interested,interested,interested,not interested 
not interested,not interested,not interested,not interested 
have used,have used ,have used ,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,not interested 
interested,interested,interested,interested
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
have used,have used ,have used ,have used 
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,not interested 
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
interested,interested,interested,not interested 
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
interested,not interested,interested,not interested 
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
have used,interested,interested,interested
not interested,not interested,not interested,not interested 
not interested,not interested,not interested,not interested 
interested,interested,interested,not interested 
interested,interested,interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
interested,interested,interested,interested
have used,have used ,have used ,have used 
have used,have used ,have used ,have used 
interested,interested,interested,interested
interested,interested,interested,interested
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,not interested 
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
have used,have used ,have used ,have used 
not interested,not interested,not interested,not interested 
interested,interested,interested,interested
